cycle,range_bin,doppler_bin,output_hex
1060505000,6,15,ffc9ff82
1062385000,6,16,008d0016
1062395000,6,17,002cff8c
1062405000,6,18,fff7ff6b
1062415000,6,19,00c20222
1062425000,6,20,ff60ffd3
1062435000,6,21,ff1ffef1
1062445000,6,22,ff22fe83
1062455000,6,23,0352013a
1062465000,6,24,fb79ff06
1062475000,6,25,06780220
1062485000,6,26,fb550025
1062495000,6,27,023efd72
1062505000,6,28,ff9e017d
1062515000,6,29,0025ffdf
1062525000,6,30,00b60071
1062535000,6,31,feceff76
1064415000,7,0,ffacffd1
1064425000,7,1,fffc0103
1064435000,7,2,00a3fef1
1064445000,7,3,ff0400ac
1064455000,7,4,0103ff8f
1064465000,7,5,fed6feff
1064475000,7,6,0155041a
1064485000,7,7,ffdffc4e
1064495000,7,8,fd480027
1064505000,7,9,05e6ff41
1064515000,7,10,fb53044d
1064525000,7,11,ff74fae2
1064535000,7,12,027502b9
1064545000,7,13,ff68ff6d
1064555000,7,14,ff990030
1064565000,7,15,0039ffac
1066445000,7,16,ffac0039
1066455000,7,17,00a70037
1066465000,7,18,fe92ff4b
1066475000,7,19,01c9ffe4
1066485000,7,20,fe96fffb
1066495000,7,21,02adff64
1066505000,7,22,fd710366
1066515000,7,23,0088fc51
1066525000,7,24,020601e7
1066535000,7,25,fe3ffeeb
1066545000,7,26,025802ff
1066555000,7,27,fee9fc90
1066565000,7,28,feac01d5
1066575000,7,29,0141fef6
1066585000,7,30,00610070
1066595000,7,31,0022ff9f
1068475000,8,0,ffcc004e
1068485000,8,1,ff51ff7f
1068495000,8,2,00cd00e5
1068505000,8,3,ff66fee1
1068515000,8,4,0292017e
1068525000,8,5,fa1ffd91
1068535000,8,6,048f0208
1068545000,8,7,fdf400a9
1068555000,8,8,01cefd92
1068565000,8,9,ff430333
1068575000,8,10,0049fe0f
1068585000,8,11,fcdaffd7
1068595000,8,12,0570009a
1068605000,8,13,fdad0059
1068615000,8,14,ff3fff7c
1068625000,8,15,00ecff93
1070505000,8,16,002e0042
1070515000,8,17,ffb60040
1070525000,8,18,ff7afde0
1070535000,8,19,01e1023d
1070545000,8,20,fdf200af
1070555000,8,21,04b3fd7d
1070565000,8,22,fafe03de
1070575000,8,23,00c8fd87
1070585000,8,24,ff4aff7c
1070595000,8,25,02700296
1070605000,8,26,fedefe80
1070615000,8,27,00670279
1070625000,8,28,febafc6b
1070635000,8,29,014b0005
1070645000,8,30,007e0162
1070655000,8,31,ffc4ff73
1072535000,9,0,ffdeffae
1072545000,9,1,008600a7
1072555000,9,2,fd99ffdc
1072565000,9,3,0272fd93
1072575000,9,4,ff4704ef
1072585000,9,5,0170fbef
1072595000,9,6,fc7002a0
1072605000,9,7,0491fd50
1072615000,9,8,fb8400fa
1072625000,9,9,026000d7
1072635000,9,10,000f0078
1072645000,9,11,ff9cfee9
1072655000,9,12,001300b9
1072665000,9,13,fff6fef7
1072675000,9,14,00640094
1072685000,9,15,ffddfff8
1074565000,9,16,00240093
1074575000,9,17,ff96ffa0
1074585000,9,18,0117fe98
1074595000,9,19,ff0b0275
1074605000,9,20,021cff99
1074615000,9,21,fe830036
1074625000,9,22,ff16fdc6
1074635000,9,23,022d038f
1074645000,9,24,fc30fc9f
1074655000,9,25,054a02b6
1074665000,9,26,fb99001c
1074675000,9,27,0161ff25
1074685000,9,28,0130ff29
1074695000,9,29,feb50044
1074705000,9,30,00d20072
1074715000,9,31,fff7ff87
1076595000,10,0,0029ffe9
1076605000,10,1,001dff54
1076615000,10,2,ff7b020f
1076625000,10,3,0078fe04
1076635000,10,4,ff44010a
1076645000,10,5,03d8fe5a
1076655000,10,6,f9f10319
1076665000,10,7,0166fda7
1076675000,10,8,047ffef3
1076685000,10,9,fbd703d2
1076695000,10,10,01d7fd17
1076705000,10,11,fdec0056
1076715000,10,12,01e00086
1076725000,10,13,ff80ffe8
1076735000,10,14,00790045
1076745000,10,15,ff62ffa7
1078625000,10,16,fffaffd8
1078635000,10,17,ffdf0094
1078645000,10,18,00a5fdc7
1078655000,10,19,00840329
1078665000,10,20,fde6feeb
1078675000,10,21,0345ff48
1078685000,10,22,fe1f00a4
1078695000,10,23,ff6300e7
1078705000,10,24,ff08ff60
1078715000,10,25,02990190
1078725000,10,26,ff75fd33
1078735000,10,27,fed404af
1078745000,10,28,fff8fbb1
1078755000,10,29,00fb012c
1078765000,10,30,002f0046
1078775000,10,31,ffe50031
1080655000,11,0,0025ff73
1080665000,11,1,ff890093
1080675000,11,2,ff290051
1080685000,11,3,02cefd93
1080695000,11,4,fcb503de
1080705000,11,5,030bfbb5
1080715000,11,6,fc4f0357
1080725000,11,7,03750043
1080735000,11,8,ff3ffdfb
1080745000,11,9,fe77fedf
1080755000,11,10,01210307
1080765000,11,11,0094fe69
1080775000,11,12,fdfb01e4
1080785000,11,13,01a9fd69
1080795000,11,14,00230119
1080805000,11,15,ffa50039
1082685000,11,16,002a007f
1082695000,11,17,0006ff5d
1082705000,11,18,ff51feaf
1082715000,11,19,036a03cb
1082725000,11,20,faedfde7
1082735000,11,21,042dffef
1082745000,11,22,fdf0ff87
1082755000,11,23,01cf00ee
1082765000,11,24,ff8a0105
1082775000,11,25,fc64002f
1082785000,11,26,0431ff95
1082795000,11,27,fd4cffa7
1082805000,11,28,0057ff39
1082815000,11,29,018d0081
1082825000,11,30,ff8effc1
1082835000,11,31,ffef0014
1084715000,12,0,ffe6ff70
1084725000,12,1,00740105
1084735000,12,2,ff10ffc4
1084745000,12,3,ffc5fea0
1084755000,12,4,031e0137
1084765000,12,5,fc55fe85
1084775000,12,6,ffe80413
1084785000,12,7,02adfab1
1084795000,12,8,fe080394
1084805000,12,9,ff66fe45
1084815000,12,10,026a01ec
1084825000,12,11,feb7feca
1084835000,12,12,ffac00f9
1084845000,12,13,0095fddd
1084855000,12,14,007e01d1
1084865000,12,15,ff7bff71
1086745000,12,16,00510043
1086755000,12,17,ffae00ad
1086765000,12,18,feeefd7b
1086775000,12,19,026601ea
1086785000,12,20,fd72014f
1086795000,12,21,0561fb30
1086805000,12,22,face0754
1086815000,12,23,0127fa8b
1086825000,12,24,005302eb
1086835000,12,25,0098ff01
1086845000,12,26,0040017b
1086855000,12,27,ff7601ae
1086865000,12,28,fe8efc97
1086875000,12,29,015500be
1086885000,12,30,0030006a
1086895000,12,31,fff1ffc9
1088775000,13,0,ffe2ffb8
1088785000,13,1,ff79ffec
1088795000,13,2,01a301d6
1088805000,13,3,fdadfc24
1088815000,13,4,026d0364
1088825000,13,5,ff88fb9b
1088835000,13,6,fe33053c
1088845000,13,7,0071fdf0
1088855000,13,8,ff18fd86
1088865000,13,9,027502b8
1088875000,13,10,001d0154
1088885000,13,11,fbd9fe38
1088895000,13,12,0471ff7e
1088905000,13,13,fe9a00ad
1088915000,13,14,ff4d002a
1088925000,13,15,00e10018
1090805000,13,16,ff9f0036
1090815000,13,17,00ff0057
1090825000,13,18,fcc7ff32
1090835000,13,19,0379fff6
1090845000,13,20,fd5cfee5
1090855000,13,21,051a0125
1090865000,13,22,fad701bb
1090875000,13,23,00c4fe5a
1090885000,13,24,016300ac
1090895000,13,25,fe1700fd
1090905000,13,26,010ffe9a
1090915000,13,27,00b10038
1090925000,13,28,fe9afef1
1090935000,13,29,00c400f3
1090945000,13,30,ffbb0049
1090955000,13,31,000eff64
1092835000,14,0,002ffff9
1092845000,14,1,00330070
1092855000,14,2,fe81ffd6
1092865000,14,3,0237fda2
1092875000,14,4,ff24038b
1092885000,14,5,fde0fd63
1092895000,14,6,01c80335
1092905000,14,7,01f8fcba
1092915000,14,8,fb2b01d1
1092925000,14,9,059bff3c
1092935000,14,10,fc430072
1092945000,14,11,0187ff54
1092955000,14,12,fece00cb
1092965000,14,13,002aff3d
1092975000,14,14,0138011b
1092985000,14,15,ff62ff4c
1094865000,14,16,ffea008d
1094875000,14,17,ffeaff52
1094885000,14,18,ffc6ff79
1094895000,14,19,005e00a1
1094905000,14,20,00fc007f
1094915000,14,21,fe5a0026
1094925000,14,22,02c7fec2
1094935000,14,23,fcc50453
1094945000,14,24,fef0fcc7
1094955000,14,25,02ba0170
1094965000,14,26,fd580105
1094975000,14,27,01fefecf
1094985000,14,28,ffb6fe8d
1094995000,14,29,ff8e029c
1095005000,14,30,ffd7ff18
1095015000,14,31,001bffe1
1096895000,15,0,ffd4ffb5
1096905000,15,1,0066003c
1096915000,15,2,ff370047
1096925000,15,3,ff94fd89
1096935000,15,4,028c04d8
1096945000,15,5,fcc2fb3a
1096955000,15,6,028e03b2
1096965000,15,7,ff53fd4e
1096975000,15,8,fdca0179
1096985000,15,9,02f6ffd0
1096995000,15,10,ffdf0027
1097005000,15,11,ff52005d
1097015000,15,12,fffafe0e
1097025000,15,13,ffd6014a
1097035000,15,14,0020ff34
1097045000,15,15,ffeb00d4
1098925000,15,16,00740067
1098935000,15,17,0059fff7
1098945000,15,18,ff6aff34
1098955000,15,19,007900ef
1098965000,15,20,ffab004a
1098975000,15,21,ff5efe06
1098985000,15,22,ff92ffff
1098995000,15,23,022901fe
1099005000,15,24,fbbcff8b
1099015000,15,25,065dfd5d
1099025000,15,26,fb720284
1099035000,15,27,01ddfdd3
1099045000,15,28,011100b4
1099055000,15,29,fecc0132
1099065000,15,30,00c60001
1099075000,15,31,ff11fecc
1100955000,16,0,ffbdff53
1100965000,16,1,00a5ffdd
1100975000,16,2,fea2020c
1100985000,16,3,00befb61
1100995000,16,4,022d05d8
1101005000,16,5,fab2fa87
1101015000,16,6,047c042a
1101025000,16,7,001dfdc8
1101035000,16,8,fda5ffbd
1101045000,16,9,0097010b
1101055000,16,10,fff4002a
1101065000,16,11,0030ff45
1101075000,16,12,0185ffe8
1101085000,16,13,fe02017d
1101095000,16,14,001afde8
1101105000,16,15,00c5018e
1102985000,16,16,ffbf0024
1102995000,16,17,0019004c
1103005000,16,18,ff67fdcd
1103015000,16,19,0119026d
1103025000,16,20,fe2dfedc
1103035000,16,21,0505ffc0
1103045000,16,22,fa0b02e7
1103055000,16,23,02aefcc3
1103065000,16,24,fe0d029a
1103075000,16,25,011ffe16
1103085000,16,26,010302bf
1103095000,16,27,fe330161
1103105000,16,28,ffd7fa86
1103115000,16,29,00eb0302
1103125000,16,30,ffb3ffdd
1103135000,16,31,0026ffbb
1105015000,17,0,ffc6ff79
1105025000,17,1,ffec0079
1105035000,17,2,0058fff5
1105045000,17,3,fecdff82
1105055000,17,4,032500b1
1105065000,17,5,fbeefd83
1105075000,17,6,040c0330
1105085000,17,7,fbbbff6f
1105095000,17,8,0274fe15
1105105000,17,9,ffb0ff37
1105115000,17,10,00c40495
1105125000,17,11,fd4dfd40
1105135000,17,12,01e5feb1
1105145000,17,13,006a0291
1105155000,17,14,feb4fed6
1105165000,17,15,0117008b
1107045000,17,16,ffb2005a
1107055000,17,17,00c600cd
1107065000,17,18,fe66fdc1
1107075000,17,19,022d0141
1107085000,17,20,fdb700f4
1107095000,17,21,0348fdf7
1107105000,17,22,fc3103c0
1107115000,17,23,0157fe04
1107125000,17,24,fef4fffc
1107135000,17,25,00beff01
1107145000,17,26,013c0083
1107155000,17,27,fd67035f
1107165000,17,28,0063fa9e
1107175000,17,29,00500227
1107185000,17,30,00ed0084
1107195000,17,31,ff59ff40
1109075000,18,0,ff780035
1109085000,18,1,ffeefee0
1109095000,18,2,fff802d9
1109105000,18,3,ff97fdb4
1109115000,18,4,015dff49
1109125000,18,5,ff1f01b2
1109135000,18,6,00460153
1109145000,18,7,fe1dfd82
1109155000,18,8,029cff77
1109165000,18,9,ff9c01e8
1109175000,18,10,ff380097
1109185000,18,11,000dff02
1109195000,18,12,ffebfebf
1109205000,18,13,01a3011e
1109215000,18,14,fde60049
1109225000,18,15,013bff70
1111105000,18,16,0030ffb1
1111115000,18,17,00190078
1111125000,18,18,ff62feef
1111135000,18,19,001101cf
1111145000,18,20,01cbfdc6
1111155000,18,21,0011005d
1111165000,18,22,00000336
1111175000,18,23,fc8efc75
1111185000,18,24,04260053
1111195000,18,25,fdc903d4
1111205000,18,26,012efc9f
1111215000,18,27,00c902c3
1111225000,18,28,fe53fd96
1111235000,18,29,002d014f
1111245000,18,30,00ccfe54
1111255000,18,31,00180119
1113135000,19,0,ff960025
1113145000,19,1,0070ffa0
1113155000,19,2,ffec0157
1113165000,19,3,ffb1ff44
1113175000,19,4,ffbdfe53
1113185000,19,5,012900d8
1113195000,19,6,001303bd
1113205000,19,7,fceffcb3
1113215000,19,8,0522fd0d
1113225000,19,9,fbaa0508
1113235000,19,10,02d2fddd
1113245000,19,11,fc97ffd4
1113255000,19,12,03bb0167
1113265000,19,13,fdb9fe3c
1113275000,19,14,00ff010b
1113285000,19,15,ffcdff91
1115165000,19,16,000bffea
1115175000,19,17,00130113
1115185000,19,18,001cfd29
1115195000,19,19,ff9202b0
1115205000,19,20,fff2fd16
1115215000,19,21,026100ab
1115225000,19,22,ffa8028f
1115235000,19,23,fe6c0117
1115245000,19,24,ff3dfd3c
1115255000,19,25,00530073
1115265000,19,26,01d6fea7
1115275000,19,27,fedc045c
1115285000,19,28,fff2fab8
1115295000,19,29,0019030b
1115305000,19,30,00c2fee5
1115315000,19,31,ffce0019
1117195000,20,0,ff96ffe0
1117205000,20,1,ffef0002
1117215000,20,2,01060183
1117225000,20,3,fe59fd84
1117235000,20,4,01e1016d
1117245000,20,5,fef4fd20
1117255000,20,6,013f049a
1117265000,20,7,fc8efe60
1117275000,20,8,0312fc30
1117285000,20,9,fe0703c0
1117295000,20,10,03160137
1117305000,20,11,fb13fdf0
1117315000,20,12,04afffbf
1117325000,20,13,fdce00ce
1117335000,20,14,ffe5fff8
1117345000,20,15,00d6fff4
1119225000,20,16,ffeb0005
1119235000,20,17,ffde00d6
1119245000,20,18,ff62fd03
1119255000,20,19,00ca02b0
1119265000,20,20,ff24fe97
1119275000,20,21,02f0ffdb
1119285000,20,22,fdab0212
1119295000,20,23,0057fed1
1119305000,20,24,fe9ffe79
1119315000,20,25,012201fc
1119325000,20,26,00140009
1119335000,20,27,ff5e0268
1119345000,20,28,ff3af9eb
1119355000,20,29,00dc02cf
1119365000,20,30,0007ff82
1119375000,20,31,0025000b
1121255000,21,0,0033ffb1
1121265000,21,1,ff86ff44
1121275000,21,2,015701f7
1121285000,21,3,fe76fdfc
1121295000,21,4,00a000f0
1121305000,21,5,0035fd53
1121315000,21,6,006c0454
1121325000,21,7,fddffc35
1121335000,21,8,018501c3
1121345000,21,9,ff2a0012
1121355000,21,10,feadff89
1121365000,21,11,02b80160
1121375000,21,12,ffe0fff8
1121385000,21,13,fe3fff63
1121395000,21,14,01b0ff58
1121405000,21,15,ff7700db
1123285000,21,16,ffe80017
1123295000,21,17,0126003b
1123305000,21,18,fd80ffb1
1123315000,21,19,01c10022
1123325000,21,20,ff390091
1123335000,21,21,0139fe1c
1123345000,21,22,ff6501da
1123355000,21,23,fcf40134
1123365000,21,24,0160fd51
1123375000,21,25,02d0008b
1123385000,21,26,fea001c9
1123395000,21,27,014bfee4
1123405000,21,28,fde30013
1123415000,21,29,01010066
1123425000,21,30,ffe700b0
1123435000,21,31,ff80ff4e
1125315000,22,0,ffa0ff76
1125325000,22,1,010d00f5
1125335000,22,2,fec0ff43
1125345000,22,3,01c900fd
1125355000,22,4,fe19fe3b
1125365000,22,5,0236fe72
1125375000,22,6,fd76041a
1125385000,22,7,0265fe7f
1125395000,22,8,fbc8fe0a
1125405000,22,9,049d006b
1125415000,22,10,fdfa031b
1125425000,22,11,feb7fdab
1125435000,22,12,0233fff5
1125445000,22,13,fedc0152
1125455000,22,14,0044fef0
1125465000,22,15,0037009d
1127345000,22,16,001b00ce
1127355000,22,17,ffdafefd
1127365000,22,18,ff8b006e
1127375000,22,19,0005fec6
1127385000,22,20,00d200dc
1127395000,22,21,01b60077
1127405000,22,22,fb68fe81
1127415000,22,23,0477036a
1127425000,22,24,fcb3fe38
1127435000,22,25,02a8fe63
1127445000,22,26,fd61033e
1127455000,22,27,fff7fc6a
1127465000,22,28,00bc01b2
1127475000,22,29,00bcfee5
1127485000,22,30,ff900127
1127495000,22,31,ff99ff22
1129375000,23,0,ffeaffcb
1129385000,23,1,00caffdf
1129395000,23,2,fdf600ff
1129405000,23,3,0254ff0d
1129415000,23,4,ff9fff65
1129425000,23,5,fe09feb4
1129435000,23,6,01dc04b2
1129445000,23,7,feb3fd10
1129455000,23,8,fe860055
1129465000,23,9,0690fe3d
1129475000,23,10,f99e0465
1129485000,23,11,020afc19
1129495000,23,12,fff1009f
1129505000,23,13,005900c4
1129515000,23,14,ff380006
1129525000,23,15,008bfff6
1131405000,23,16,ff62ffdd
1131415000,23,17,004a0066
1131425000,23,18,ffa9ff7d
1131435000,23,19,fef5ffb3
1131445000,23,20,03760074
1131455000,23,21,fcd6ff60
1131465000,23,22,008e01a3
1131475000,23,23,ffc800d2
1131485000,23,24,fe5efe95
1131495000,23,25,02d4ff2c
1131505000,23,26,fcbd0389
1131515000,23,27,034dfda1
1131525000,23,28,fe0e0146
1131535000,23,29,fe5cfdca
1131545000,23,30,01c80133
1131555000,23,31,0026ffd6
1133435000,24,0,ffe6ffc3
1133445000,24,1,ff10ff6d
1133455000,24,2,014e0202
1133465000,24,3,fe08fdd4
1133475000,24,4,03600138
1133485000,24,5,fc1dfd5b
1133495000,24,6,03780393
1133505000,24,7,fcc4ff8e
1133515000,24,8,ff90fd5b
1133525000,24,9,03880239
1133535000,24,10,ffaa0082
1133545000,24,11,fbd8ff3c
1133555000,24,12,048a0056
1133565000,24,13,febbff37
1133575000,24,14,ff680035
1133585000,24,15,00b40032
1135465000,24,16,ffc70069
1135475000,24,17,00d2ffb2
1135485000,24,18,fdeeffdc
1135495000,24,19,01cffee6
1135505000,24,20,00520425
1135515000,24,21,0186fa18
1135525000,24,22,fe44043d
1135535000,24,23,007a018b
1135545000,24,24,fd35fc0b
1135555000,24,25,05f202f6
1135565000,24,26,fc8cffde
1135575000,24,27,002900f6
1135585000,24,28,009efe07
1135595000,24,29,000aff60
1135605000,24,30,003e0191
1135615000,24,31,0012ff51
1137495000,25,0,ffe4ffe2
1137505000,25,1,ff8d00a0
1137515000,25,2,008bff28
1137525000,25,3,ffbc009b
1137535000,25,4,fefb0052
1137545000,25,5,0256fc5f
1137555000,25,6,fcde081c
1137565000,25,7,00ecfab5
1137575000,25,8,0232ffd8
1137585000,25,9,003d00a2
1137595000,25,10,fe2501f0
1137605000,25,11,ffcafcaf
1137615000,25,12,01cb0258
1137625000,25,13,ff08fde3
1137635000,25,14,ffde0170
1137645000,25,15,001eff75
1139525000,25,16,0082fff3
1139535000,25,17,000dff95
1139545000,25,18,006d0095
1139555000,25,19,ff5a008f
1139565000,25,20,fff1fe78
1139575000,25,21,02180138
1139585000,25,22,fe40fe9c
1139595000,25,23,01d000cd
1139605000,25,24,fa6800d9
1139615000,25,25,0693fedd
1139625000,25,26,fe2301a5
1139635000,25,27,fee8ff2f
1139645000,25,28,ff5dfea8
1139655000,25,29,0114ff8a
1139665000,25,30,019000ee
1139675000,25,31,fe8a0011
1141555000,26,0,ffc5006e
1141565000,26,1,ff98fef0
1141575000,26,2,014f0142
1141585000,26,3,fedffee1
1141595000,26,4,ff9e0158
1141605000,26,5,01adfd64
1141615000,26,6,fd9604c9
1141625000,26,7,0134fbf1
1141635000,26,8,0129ff06
1141645000,26,9,feb4044a
1141655000,26,10,ffefff22
1141665000,26,11,ffedfc2b
1141675000,26,12,004c03e4
1141685000,26,13,009ffeae
1141695000,26,14,ff9c0083
1141705000,26,15,0020ff57
1143585000,26,16,ffbe000c
1143595000,26,17,00b6fff8
1143605000,26,18,ff6a0043
1143615000,26,19,0051ff79
1143625000,26,20,00350186
1143635000,26,21,0140013e
1143645000,26,22,f96bfcbc
1143655000,26,23,074201e2
1143665000,26,24,fcf6fdd8
1143675000,26,25,0108029a
1143685000,26,26,ff540107
1143695000,26,27,0177fe6f
1143705000,26,28,00d300aa
1143715000,26,29,fd96ffa8
1143725000,26,30,00ab009e
1143735000,26,31,0042ff76
1145615000,27,0,000fff7f
1145625000,27,1,ff770000
1145635000,27,2,00a1008a
1145645000,27,3,007dfddc
1145655000,27,4,feae02fe
1145665000,27,5,0205fc7e
1145675000,27,6,fe0302fd
1145685000,27,7,00e3fdaa
1145695000,27,8,fe5b00b5
1145705000,27,9,00c30022
1145715000,27,10,00ed01c6
1145725000,27,11,ff75fda6
1145735000,27,12,ff4c0252
1145745000,27,13,0099fe10
1145755000,27,14,007300a7
1145765000,27,15,ffeb00ac
1147645000,27,16,ffa1009f
1147655000,27,17,0064ffc4
1147665000,27,18,fee5fefe
1147675000,27,19,028700e4
1147685000,27,20,fd47031f
1147695000,27,21,ff5efc15
1147705000,27,22,01a600f7
1147715000,27,23,ff47008c
1147725000,27,24,0019fe29
1147735000,27,25,ffbe006c
1147745000,27,26,013902c0
1147755000,27,27,0187fd2a
1147765000,27,28,fdf30261
1147775000,27,29,0044fe13
1147785000,27,30,ffb001a3
1147795000,27,31,002ffece
1149675000,28,0,ffafffd0
1149685000,28,1,00540028
1149695000,28,2,ff5100b9
1149705000,28,3,00b2fde8
1149715000,28,4,006702ba
1149725000,28,5,fdfffb67
1149735000,28,6,015907db
1149745000,28,7,ffa7f9f1
1149755000,28,8,fead00b6
1149765000,28,9,03ea0134
1149775000,28,10,fd570315
1149785000,28,11,ffe0fb42
1149795000,28,12,01bd00ac
